,dateTime,symbol,change
92,2022-04-05 12:30:00-04:00,GOOG,-0.1271530853170467%
93,2022-04-05 13:30:00-04:00,GOOG,0.012870017289953847%
94,2022-04-05 14:30:00-04:00,GOOG,0.10725822441140859%
95,2022-04-05 15:30:00-04:00,GOOG,0.37869944355981433%
96,2022-04-06 09:30:00-04:00,GOOG,1.145827302205393%
97,2022-04-06 10:30:00-04:00,GOOG,1.0121688430796127%
98,2022-04-06 11:30:00-04:00,GOOG,0.291470403549918%
99,2022-04-06 12:30:00-04:00,GOOG,0.45824066890137294%
100,2022-04-06 13:30:00-04:00,GOOG,-0.8999817157064214%
101,2022-04-06 14:30:00-04:00,GOOG,0.29216702504037206%
102,2022-04-06 15:30:00-04:00,GOOG,0.28286743204218345%
103,2022-04-07 09:30:00-04:00,GOOG,0.09866584576494061%
104,2022-04-07 10:30:00-04:00,GOOG,0.6294397937965023%
105,2022-04-07 11:30:00-04:00,GOOG,0.41418428631492404%
106,2022-04-07 12:30:00-04:00,GOOG,-0.10309883253494222%
107,2022-04-07 13:30:00-04:00,GOOG,-0.3077161530129444%
108,2022-04-07 14:30:00-04:00,GOOG,-0.5274882527118906%
109,2022-04-07 15:30:00-04:00,GOOG,0.048606259655579784%
110,2022-04-08 09:30:00-04:00,GOOG,0.8969405783858976%
111,2022-04-08 10:30:00-04:00,GOOG,0.29357798165137616%
112,2022-04-08 11:30:00-04:00,GOOG,0.16599226226076555%
113,2022-04-08 12:30:00-04:00,GOOG,-0.006030408198330945%
114,2022-04-08 13:30:00-04:00,GOOG,0.3542156176534144%
115,2022-04-08 14:30:00-04:00,GOOG,0.17794060373175793%
116,2022-04-08 15:30:00-04:00,GOOG,0.11545451937939395%
117,2022-04-11 09:30:00-04:00,GOOG,1.3482213538630614%
118,2022-04-11 10:30:00-04:00,GOOG,1.193163359435274%
119,2022-04-11 11:30:00-04:00,GOOG,0.1865258644675988%
120,2022-04-11 12:30:00-04:00,GOOG,0.015250875505464572%
121,2022-04-11 13:30:00-04:00,GOOG,0.02746135040748305%
122,2022-04-11 14:30:00-04:00,GOOG,0.24570175618352832%
123,2022-04-11 15:30:00-04:00,GOOG,0.3549311156682698%
124,2022-04-12 09:30:00-04:00,GOOG,-1.6562226986153914%
125,2022-04-12 10:30:00-04:00,GOOG,0.9990659222190582%
126,2022-04-12 11:30:00-04:00,GOOG,0.23913026677615398%
127,2022-04-12 12:30:00-04:00,GOOG,0.6124469401033463%
128,2022-04-12 13:30:00-04:00,GOOG,0.23579011899662797%
129,2022-04-12 14:30:00-04:00,GOOG,0.9168769347131247%
130,2022-04-12 15:30:00-04:00,GOOG,-0.11596111777929234%
131,2022-04-13 09:30:00-04:00,GOOG,-0.6696812381074929%
132,2022-04-13 10:30:00-04:00,GOOG,-0.192294640635251%
133,2022-04-13 11:30:00-04:00,GOOG,-0.49364387644508667%
134,2022-04-13 12:30:00-04:00,GOOG,-0.09912381958116721%
135,2022-04-13 13:30:00-04:00,GOOG,0.3618252520674459%
136,2022-04-13 14:30:00-04:00,GOOG,-0.34218830240716397%
137,2022-04-13 15:30:00-04:00,GOOG,-0.1250988545685825%
138,2022-04-14 09:30:00-04:00,GOOG,-0.0417160321952471%
139,2022-04-14 10:30:00-04:00,GOOG,1.3631298502099034%
140,2022-04-14 11:30:00-04:00,GOOG,0.15861845062163984%
141,2022-04-14 12:30:00-04:00,GOOG,0.5690431642464203%
142,2022-04-14 13:30:00-04:00,GOOG,-0.6143596262264112%
143,2022-04-14 14:30:00-04:00,GOOG,0.3953180630704073%
144,2022-04-14 15:30:00-04:00,GOOG,0.5798372557618282%
145,2022-04-18 09:30:00-04:00,GOOG,-0.9307974998774751%
146,2022-04-18 10:30:00-04:00,GOOG,0.06759238614021298%
147,2022-04-18 11:30:00-04:00,GOOG,0.735819439382896%
148,2022-04-18 12:30:00-04:00,GOOG,0.38264046395658197%
149,2022-04-18 13:30:00-04:00,GOOG,-0.9348230537156393%
150,2022-04-18 14:30:00-04:00,GOOG,0.014804872352904038%
151,2022-04-18 15:30:00-04:00,GOOG,0.29837613957099074%
152,2022-04-19 09:30:00-04:00,GOOG,-1.3434058167036695%
153,2022-04-19 10:30:00-04:00,GOOG,-0.23728632019092838%
154,2022-04-19 11:30:00-04:00,GOOG,-0.16960678044020577%
155,2022-04-19 12:30:00-04:00,GOOG,0.05720852220441506%
156,2022-04-19 13:30:00-04:00,GOOG,0.0768344218209758%
157,2022-04-19 14:30:00-04:00,GOOG,-0.450050386269704%
158,2022-04-19 15:30:00-04:00,GOOG,-0.20550115528989335%
159,2022-04-20 09:30:00-04:00,GOOG,-0.7790082374120343%
160,2022-04-20 10:30:00-04:00,GOOG,1.2031546085178797%
161,2022-04-20 11:30:00-04:00,GOOG,0.9408413072182398%
162,2022-04-20 12:30:00-04:00,GOOG,0.04685775541707704%
163,2022-04-20 13:30:00-04:00,GOOG,-0.4560273219107365%
164,2022-04-20 14:30:00-04:00,GOOG,0.7382053296886188%
165,2022-04-20 15:30:00-04:00,GOOG,-0.2478952806551751%
166,2022-04-21 09:30:00-04:00,GOOG,-1.0135621063468991%
167,2022-04-21 10:30:00-04:00,GOOG,0.5876462206750671%
168,2022-04-21 11:30:00-04:00,GOOG,0.9203962284419801%
169,2022-04-21 12:30:00-04:00,GOOG,0.9581252811029306%
170,2022-04-21 13:30:00-04:00,GOOG,0.37146451876701014%
171,2022-04-21 14:30:00-04:00,GOOG,0.722277274627389%
172,2022-04-21 15:30:00-04:00,GOOG,0.26326144581951094%
173,2022-04-22 09:30:00-04:00,GOOG,0.01215818963096244%
174,2022-04-22 10:30:00-04:00,GOOG,1.8570607171458717%
175,2022-04-22 11:30:00-04:00,GOOG,0.44694373355741357%
176,2022-04-22 12:30:00-04:00,GOOG,1.1819620749801587%
177,2022-04-22 13:30:00-04:00,GOOG,0.38080170531403157%
178,2022-04-22 14:30:00-04:00,GOOG,0.19942365329314224%
179,2022-04-22 15:30:00-04:00,GOOG,-0.32356745107998486%
180,2022-04-25 09:30:00-04:00,GOOG,-1.4677803174003663%
181,2022-04-25 10:30:00-04:00,GOOG,-0.5097112552841482%
182,2022-04-25 11:30:00-04:00,GOOG,1.1078390224918313%
183,2022-04-25 12:30:00-04:00,GOOG,-0.34035804403233716%
184,2022-04-25 13:30:00-04:00,GOOG,-0.0028670715730952407%
185,2022-04-25 14:30:00-04:00,GOOG,-0.574067172062617%
186,2022-04-25 15:30:00-04:00,GOOG,-0.30756951154393813%
187,2022-04-26 09:30:00-04:00,GOOG,0.42830263075290914%
188,2022-04-26 10:30:00-04:00,GOOG,2.0802471836812626%
189,2022-04-26 11:30:00-04:00,GOOG,-0.6102576378177945%
190,2022-04-26 12:30:00-04:00,GOOG,0.15216140050669322%
191,2022-04-26 13:30:00-04:00,GOOG,-0.18592708576808076%
192,2022-04-26 14:30:00-04:00,GOOG,-0.723730595546697%
193,2022-04-26 15:30:00-04:00,GOOG,1.2671685489255056%
194,2022-04-27 09:30:00-04:00,GOOG,2.3291399208940717%
195,2022-04-27 10:30:00-04:00,GOOG,0.6412795046542553%
196,2022-04-27 11:30:00-04:00,GOOG,-0.17174004715453667%
197,2022-04-27 12:30:00-04:00,GOOG,-0.14622718416483496%
198,2022-04-27 13:30:00-04:00,GOOG,0.23396166080572575%
199,2022-04-27 14:30:00-04:00,GOOG,0.428767240640795%
200,2022-04-27 15:30:00-04:00,GOOG,0.7232956580121813%
201,2022-04-28 09:30:00-04:00,GOOG,-1.7082012111119953%
202,2022-04-28 10:30:00-04:00,GOOG,-0.09746962413198261%
203,2022-04-28 11:30:00-04:00,GOOG,-0.2857397638985015%
204,2022-04-28 12:30:00-04:00,GOOG,-1.8034109504186984%
205,2022-04-28 13:30:00-04:00,GOOG,0.18032192965411115%
206,2022-04-28 14:30:00-04:00,GOOG,-0.503448186642238%
207,2022-04-28 15:30:00-04:00,GOOG,0.190557332306811%
208,2022-04-29 09:30:00-04:00,GOOG,1.0390229175444257%
209,2022-04-29 10:30:00-04:00,GOOG,0.8724497581014987%
210,2022-04-29 11:30:00-04:00,GOOG,-0.2127392851127738%
211,2022-04-29 12:30:00-04:00,GOOG,0.24582851792612376%
212,2022-04-29 13:30:00-04:00,GOOG,0.10513688920313631%
213,2022-04-29 14:30:00-04:00,GOOG,1.077271268001212%
214,2022-04-29 15:30:00-04:00,GOOG,0.2442035452897292%
215,2022-05-02 09:30:00-04:00,GOOG,-0.2220166804015524%
216,2022-05-02 10:30:00-04:00,GOOG,-0.5459563197211104%
217,2022-05-02 11:30:00-04:00,GOOG,0.5545213284410418%
218,2022-05-02 12:30:00-04:00,GOOG,0.26878530552275653%
219,2022-05-02 13:30:00-04:00,GOOG,0.5639932885870769%
220,2022-05-02 14:30:00-04:00,GOOG,-1.030465784064645%
221,2022-05-02 15:30:00-04:00,GOOG,-0.5721209026791814%
222,2022-05-03 09:30:00-04:00,GOOG,-0.8402954834000732%
